Filename,Duration,File Size,Creation Date,Original Path
question_258.mp3,0:13,270.45 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_258.mp3
question_264.mp3,0:07,157.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_264.mp3
question_270.mp3,0:08,175.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_270.mp3
question_33.mp3,0:06,122.79 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_33.mp3
question_27.mp3,0:04,97.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_27.mp3
question_112.mp3,0:11,225.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_112.mp3
question_106.mp3,0:08,170.14 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_106.mp3
question_338.mp3,0:11,218.89 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_338.mp3
question_310.mp3,0:09,179.98 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_310.mp3
question_304.mp3,0:04,97.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_304.mp3
question_305.mp3,0:07,142.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_305.mp3
question_311.mp3,0:07,139.20 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_311.mp3
question_1.mp3,0:09,192.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_1.mp3
question_339.mp3,0:08,162.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_339.mp3
question_107.mp3,0:11,218.42 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_107.mp3
question_113.mp3,0:11,235.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_113.mp3
question_26.mp3,0:07,152.32 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_26.mp3
question_32.mp3,0:06,128.89 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_32.mp3
question_271.mp3,0:08,176.23 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_271.mp3
question_265.mp3,0:07,157.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_265.mp3
question_259.mp3,0:16,316.39 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_259.mp3
question_261.mp3,0:07,147.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_261.mp3
question_275.mp3,0:09,181.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_275.mp3
question_249.mp3,0:11,224.98 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_249.mp3
question_36.mp3,0:05,109.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_36.mp3
question_22.mp3,0:06,123.73 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_22.mp3
question_117.mp3,0:10,200.14 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_117.mp3
question_103.mp3,0:11,225.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_103.mp3
question_315.mp3,0:09,196.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_315.mp3
question_301.mp3,0:06,136.39 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_301.mp3
question_329.mp3,0:06,128.42 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_329.mp3
question_5.mp3,0:09,190.76 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_5.mp3
question_4.mp3,0:04,98.42 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_4.mp3
question_328.mp3,0:07,157.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_328.mp3
question_300.mp3,0:09,179.04 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_300.mp3
question_314.mp3,0:06,131.23 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_314.mp3
question_102.mp3,0:08,172.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_102.mp3
question_116.mp3,0:09,190.76 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_116.mp3
question_23.mp3,0:07,157.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_23.mp3
question_37.mp3,0:08,166.39 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_37.mp3
question_248.mp3,0:11,226.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_248.mp3
question_274.mp3,0:11,235.76 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_274.mp3
question_260.mp3,0:09,195.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_260.mp3
question_276.mp3,0:06,125.61 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_276.mp3
question_262.mp3,0:06,127.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_262.mp3
question_21.mp3,0:07,150.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_21.mp3
question_289.mp3,0:08,174.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_289.mp3
question_35.mp3,0:05,119.04 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_35.mp3
question_100.mp3,0:12,245.61 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_100.mp3
question_114.mp3,0:12,249.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_114.mp3
question_128.mp3,0:13,267.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_128.mp3
question_302.mp3,0:06,127.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_302.mp3
question_316.mp3,0:07,153.73 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_316.mp3
question_6.mp3,0:06,136.85 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_6.mp3
question_7.mp3,0:07,142.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_7.mp3
question_317.mp3,0:07,154.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_317.mp3
question_303.mp3,0:05,112.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_303.mp3
question_129.mp3,0:08,172.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_129.mp3
question_115.mp3,0:11,222.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_115.mp3
question_101.mp3,0:10,200.14 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_101.mp3
question_34.mp3,0:05,119.04 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_34.mp3
question_20.mp3,0:07,143.89 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_20.mp3
question_288.mp3,0:10,209.04 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_288.mp3
question_263.mp3,0:08,166.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_263.mp3
question_277.mp3,0:07,145.76 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_277.mp3
question_252.mp3,0:14,294.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_252.mp3
question_246.mp3,0:11,225.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_246.mp3
question_11.mp3,0:07,157.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_11.mp3
question_291.mp3,0:09,186.08 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_291.mp3
question_39.mp3,0:08,174.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_39.mp3
question_285.mp3,0:10,211.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_285.mp3
question_118.mp3,0:11,222.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_118.mp3
question_124.mp3,0:10,209.51 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_124.mp3
question_130.mp3,0:09,190.76 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_130.mp3
question_326.mp3,0:07,152.79 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_326.mp3
question_332.mp3,0:08,163.11 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_332.mp3
question_333.mp3,0:08,170.14 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_333.mp3
question_327.mp3,0:07,157.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_327.mp3
question_131.mp3,0:09,187.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_131.mp3
question_125.mp3,0:08,165.45 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_125.mp3
question_119.mp3,0:12,237.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_119.mp3
question_284.mp3,0:09,190.76 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_284.mp3
question_290.mp3,0:10,199.20 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_290.mp3
question_38.mp3,0:05,110.14 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_38.mp3
question_10.mp3,0:09,180.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_10.mp3
question_247.mp3,0:14,282.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_247.mp3
question_253.mp3,0:16,329.98 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_253.mp3
question_279.mp3,0:10,216.54 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_279.mp3
question_245.mp3,0:15,308.89 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_245.mp3
question_251.mp3,0:12,254.51 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_251.mp3
question_12.mp3,0:07,150.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_12.mp3
question_286.mp3,0:11,234.83 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_286.mp3
question_292.mp3,0:13,260.61 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_292.mp3
question_133.mp3,0:11,230.14 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_133.mp3
question_127.mp3,0:08,174.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_127.mp3
question_319.mp3,0:08,160.76 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_319.mp3
question_331.mp3,0:09,180.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_331.mp3
question_9.mp3,0:07,142.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_9.mp3
question_325.mp3,0:07,153.73 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_325.mp3
question_324.mp3,0:08,171.08 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_324.mp3
question_330.mp3,0:07,153.73 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_330.mp3
question_8.mp3,0:05,109.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_8.mp3
question_318.mp3,0:08,170.61 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_318.mp3
question_126.mp3,0:13,267.64 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_126.mp3
question_132.mp3,0:11,229.20 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_132.mp3
question_293.mp3,0:12,250.76 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_293.mp3
question_287.mp3,0:09,182.79 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_287.mp3
question_13.mp3,0:10,205.76 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_13.mp3
question_250.mp3,0:15,301.39 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_250.mp3
question_244.mp3,0:14,280.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_244.mp3
question_278.mp3,0:09,184.20 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_278.mp3
question_240.mp3,0:15,304.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_240.mp3
question_254.mp3,0:14,292.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_254.mp3
question_268.mp3,0:08,177.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_268.mp3
question_283.mp3,0:06,127.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_283.mp3
question_297.mp3,0:12,247.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_297.mp3
question_17.mp3,0:07,144.82 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_17.mp3
question_136.mp3,0:14,292.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_136.mp3
question_122.mp3,0:14,294.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_122.mp3
question_334.mp3,0:09,179.04 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_334.mp3
question_320.mp3,0:06,136.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_320.mp3
question_308.mp3,0:06,137.79 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_308.mp3
question_309.mp3,0:07,141.08 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_309.mp3
question_321.mp3,0:11,218.42 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_321.mp3
question_335.mp3,0:06,123.26 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_335.mp3
question_123.mp3,0:08,162.64 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_123.mp3
question_137.mp3,0:11,226.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_137.mp3
question_16.mp3,0:08,159.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_16.mp3
question_296.mp3,0:11,227.79 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_296.mp3
question_282.mp3,0:06,128.42 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_282.mp3
question_269.mp3,0:09,190.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_269.mp3
question_255.mp3,0:12,239.51 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_255.mp3
question_241.mp3,0:13,260.14 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_241.mp3
question_257.mp3,0:12,251.23 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_257.mp3
question_243.mp3,0:13,273.73 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_243.mp3
question_294.mp3,0:11,232.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_294.mp3
question_280.mp3,0:07,154.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_280.mp3
question_28.mp3,0:06,133.57 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_28.mp3
question_14.mp3,0:09,194.98 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_14.mp3
question_121.mp3,0:09,189.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_121.mp3
question_135.mp3,0:13,258.26 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_135.mp3
question_109.mp3,0:08,170.14 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_109.mp3
question_323.mp3,0:08,169.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_323.mp3
question_337.mp3,0:06,133.11 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_337.mp3
question_336.mp3,0:06,130.76 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_336.mp3
question_322.mp3,0:07,142.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_322.mp3
question_108.mp3,0:10,214.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_108.mp3
question_134.mp3,0:09,187.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_134.mp3
question_120.mp3,0:10,197.79 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_120.mp3
question_15.mp3,0:06,119.98 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_15.mp3
question_281.mp3,0:08,161.23 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_281.mp3
question_29.mp3,0:07,147.64 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_29.mp3
question_295.mp3,0:08,167.33 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_295.mp3
question_242.mp3,0:13,261.08 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_242.mp3
question_256.mp3,0:12,248.89 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_256.mp3
question_219.mp3,0:14,292.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_219.mp3
question_99.mp3,0:10,203.89 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_99.mp3
question_231.mp3,0:13,257.33 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_231.mp3
question_225.mp3,0:09,187.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_225.mp3
question_66.mp3,0:07,141.07 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_66.mp3
question_72.mp3,0:07,156.07 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_72.mp3
question_147.mp3,0:09,191.70 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_147.mp3
question_153.mp3,0:10,213.73 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_153.mp3
question_184.mp3,0:09,179.04 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_184.mp3
question_190.mp3,0:08,171.08 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_190.mp3
question_345.mp3,0:09,184.20 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_345.mp3
question_350.mp3,0:07,145.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_350.mp3
question_344.mp3,0:06,134.04 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_344.mp3
question_191.mp3,0:09,190.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_191.mp3
question_185.mp3,0:10,202.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_185.mp3
question_152.mp3,0:14,289.20 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_152.mp3
question_146.mp3,0:10,209.04 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_146.mp3
question_73.mp3,0:05,110.61 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_73.mp3
question_67.mp3,0:07,151.39 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_67.mp3
question_224.mp3,0:12,245.14 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_224.mp3
question_98.mp3,0:08,158.89 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_98.mp3
question_230.mp3,0:15,297.64 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_230.mp3
question_218.mp3,0:11,217.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_218.mp3
question_226.mp3,0:10,216.54 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_226.mp3
question_232.mp3,0:11,231.08 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_232.mp3
question_71.mp3,0:04,87.64 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_71.mp3
question_65.mp3,0:05,108.26 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_65.mp3
question_59.mp3,0:07,155.14 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_59.mp3
question_178.mp3,0:09,181.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_178.mp3
question_150.mp3,0:12,242.79 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_150.mp3
question_144.mp3,0:12,239.04 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_144.mp3
question_193.mp3,0:09,188.89 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_193.mp3
question_187.mp3,0:10,203.42 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_187.mp3
question_346.mp3,0:08,163.58 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_346.mp3
question_347.mp3,0:06,133.11 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_347.mp3
question_186.mp3,0:12,251.23 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_186.mp3
question_192.mp3,0:10,203.42 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_192.mp3
question_145.mp3,0:06,135.45 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_145.mp3
question_151.mp3,0:10,200.61 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_151.mp3
question_179.mp3,0:08,175.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_179.mp3
question_58.mp3,0:07,147.64 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_58.mp3
question_64.mp3,0:05,102.64 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_64.mp3
question_70.mp3,0:04,97.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_70.mp3
question_233.mp3,0:13,262.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_233.mp3
question_227.mp3,0:11,235.76 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_227.mp3
question_223.mp3,0:11,233.42 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_223.mp3
question_237.mp3,0:14,283.58 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_237.mp3
question_48.mp3,0:06,121.39 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_48.mp3
question_74.mp3,0:06,125.14 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_74.mp3
question_60.mp3,0:08,159.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_60.mp3
question_155.mp3,0:12,241.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_155.mp3
question_141.mp3,0:07,145.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_141.mp3
question_169.mp3,0:11,229.20 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_169.mp3
question_196.mp3,0:07,150.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_196.mp3
question_182.mp3,0:10,198.26 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_182.mp3
question_343.mp3,0:08,174.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_343.mp3
question_342.mp3,0:06,129.83 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_342.mp3
question_183.mp3,0:10,202.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_183.mp3
question_197.mp3,0:10,202.01 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_197.mp3
question_168.mp3,0:07,144.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_168.mp3
question_140.mp3,0:07,150.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_140.mp3
question_154.mp3,0:10,212.33 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_154.mp3
question_61.mp3,0:08,166.39 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_61.mp3
question_75.mp3,0:06,123.26 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_75.mp3
question_49.mp3,0:04,93.73 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_49.mp3
question_236.mp3,0:14,277.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_236.mp3
question_222.mp3,0:14,281.70 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_222.mp3
question_234.mp3,0:13,272.33 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_234.mp3
question_88.mp3,0:07,139.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_88.mp3
question_220.mp3,0:12,249.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_220.mp3
question_208.mp3,0:12,245.61 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_208.mp3
question_63.mp3,0:07,141.07 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_63.mp3
question_77.mp3,0:04,97.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_77.mp3
question_142.mp3,0:07,155.61 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_142.mp3
question_156.mp3,0:16,322.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_156.mp3
question_181.mp3,0:10,205.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_181.mp3
question_195.mp3,0:09,195.45 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_195.mp3
