generation_id,created_at,nsfw,like_count,generation_status,image_id,variant_id,variant_url,variant_status,variant_transformation
73d79777-4af5-473a-8453-15dae5e8d827,2024-06-21T19:16:16.343561,False,0,COMPLETE,73d79777-4af5-473a-8453-15dae5e8d827,71804631-5e95-4e6b-b2a8-222e7c3357a6,No URL available,COMPLETE,UPSCALE
73d79777-4af5-473a-8453-15dae5e8d827,2024-06-21T19:17:17.492831,False,0,COMPLETE,73d79777-4af5-473a-8453-15dae5e8d827,40825114-670e-48fc-8ee8-99ab2c2610e9,No URL available,COMPLETE,UPSCALE
73d79777-4af5-473a-8453-15dae5e8d827,2024-06-21T19:18:18.352659,False,0,COMPLETE,73d79777-4af5-473a-8453-15dae5e8d827,ab2173a0-4533-464b-8431-750a8d8da90d,No URL available,COMPLETE,UPSCALE
73d79777-4af5-473a-8453-15dae5e8d827,2024-06-21T19:19:19.446116,False,0,COMPLETE,73d79777-4af5-473a-8453-15dae5e8d827,e822231b-6344-4ac0-9940-7fb3b57ed977,No URL available,COMPLETE,UPSCALE
50193678-1bbc-4142-93d6-22186c7772d4,2024-06-21T19:22:21.230742,False,0,COMPLETE,50193678-1bbc-4142-93d6-22186c7772d4,2fd18347-4ee4-488c-a2b0-f4c498211008,No URL available,COMPLETE,UPSCALE
50193678-1bbc-4142-93d6-22186c7772d4,2024-06-21T19:23:21.964305,False,0,COMPLETE,50193678-1bbc-4142-93d6-22186c7772d4,ffc045c2-6e1e-4785-ae9f-07af83158e53,No URL available,COMPLETE,UPSCALE
50193678-1bbc-4142-93d6-22186c7772d4,2024-06-21T19:24:22.755758,False,0,COMPLETE,50193678-1bbc-4142-93d6-22186c7772d4,1eb61f1c-4d0d-47c3-9eb2-04a1414a4d97,No URL available,COMPLETE,UPSCALE
50193678-1bbc-4142-93d6-22186c7772d4,2024-06-21T19:25:23.525059,False,0,COMPLETE,50193678-1bbc-4142-93d6-22186c7772d4,723a2c4b-516c-41f0-94f7-31bf7fe19002,No URL available,COMPLETE,UPSCALE
31a6211c-307a-40af-8fe0-d8be13590a9f,2024-06-21T19:28:25.988779,False,0,COMPLETE,31a6211c-307a-40af-8fe0-d8be13590a9f,7b72e171-d122-46e7-b427-05af3277f0e1,No URL available,COMPLETE,UPSCALE
31a6211c-307a-40af-8fe0-d8be13590a9f,2024-06-21T19:29:27.094576,False,0,COMPLETE,31a6211c-307a-40af-8fe0-d8be13590a9f,422c5965-2652-41f3-9c6c-61058575ff97,No URL available,COMPLETE,UPSCALE
