Filename,File Size,Creation Date,Original Path
Heartbeats_in_the_Dark_Soft_Whispers_analysis 2.txt,1.63 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-v4-og_transcript 1.txt,1.21 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Love_is_rubbish_Let's_Get_Trashy_analysis 1.txt,1.83 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in_this_alley_where_i_Hide_-_LIVE-stadium 2_analysis 2.txt,2.99 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
echoes_of_yesterday_remastered_analysis 2.txt,1.77 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Junkyard_Symphony_Scraps2_(Remastered) 2_analysis 2.txt,2.72 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Love_is_rubbish_Lets_Get_Trashy_analysis 2.txt,2.58 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Recycled_Symphony2_(Remastered)_analysis 3.txt,1.67 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-322_analysis2_1_1.txt,3.57 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Kings_and_Queens_of_Litter_(Remastered)1_analysis 1.txt,1.69 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
The_Sound_of_Ancestors_(Remastered)1_transcript 1.txt,1.43 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Dusty_Rhymes_and_Grime_transcript 1.txt,2.15 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Junkyard_Symphony_Scraps_(Remastered)_analysis 2.txt,2.42 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Down_the_Witchs_Road_analysis 2.txt,1.73 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark2_(Remastered)_(1)_transcript 1.txt,847.00 B,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Kings_and_Queens_of_Litter_(Remastered)1 2_analysis 2.txt,3.23 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
No More Love Songs_transcript 1.txt,1.99 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_the_Alley_Blues_analysis2_1_1.txt,2.69 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_the_Junkyard-v4_analysis_1_1.txt,2.50 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in-this--aLLey-where-i-hiDe_1_1_analysis 1.txt,3.27 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Recycled_Symphony2_(Remastered)_analysis 1.txt,3.55 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Moonlit Reverie_transcription.txt,2.04 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Moonly_Alley_analysis2_1_1.txt,3.07 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark_Soft_Whispers_analysis 1.txt,2.73 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Recycled-Symphony2_analysis2_1_1.txt,3.46 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Moonly Alley Serenade_transcription.txt,1.67 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
